LABEL,QUESTIONS
all,How many pizzas were served today ?
all,How many cakes were served in total ?
all,How many pears were picked in total ?
+,How many Pokemon cards does Sally have now ?
+,How many games will he attend in all ?
+,How many books did he buy at the yard sale ?
+,How many bales did he store in the barn ?
all,How many books do they have together ?
+,How many quarters does she have now ?
+,How many walnut trees will the park have when the workers are finished ?
+,How many green balloons does he now have ?
all,How many pears were picked in total ?
+,How many oak trees will the park have when the workers are finished ?
+,How many violet balloons does he now have ?
+,How many pumpkins does Sara have ?
+,How much did Jason spend at the music store ?
+,How much did Tom spend on video games ?
+,How many tons of cargo does the ship hold now ?
+,How many pounds of honey did Diane harvest this year ?
all,In all how many passengers landed in Newberg last year ? .
+,How many tons of grain did the ship originally contain ?
+,How many yards of silk did it dye for that order ?
all,How many bathing suits are available overall ?
+,how many pieces of trash did Tori pick up outside the classrooms ? .
+,How many books did the library have before the grant ?
c,How many more eggs did the farms produce this year ?
+,How many of the gems were rubies ?
+,How many points does Paul 's cousin have ?
c,How much longer is Oscar 's bus ride than Charlie 's ?
all,What fraction of the garments are either bikinis or trunks ?
c,How much more cinnamon than nutmeg did Mandy use ?
all,How many loaves were served in all ?
c,How much farther did Stanley run than walk ?
+,How much gas did Michelle use ?
+,How many miles did Craig walk in all ?
+,How many bags of fruit did Charlie pick in total ?
all,Altogether how many bins would the canned food take up ? .
+,How many miles did Nina run in total ?
+,How many gallons of punch did Kendra make ?
all,How many pounds of peppers did Dale 's Vegetarian Restaurant buy in all ?
c,How much more did the yellow block weigh than the green block ?
all,How far did Terrell hike all together ?
+,How many pounds of watermelon did Kevin buy ?
+,How many baseball cards does Sally have now ?
+,How many yellow marbles does Sam now have ?
+,How many seashells does Tim now have ?
all,How many erasers are now there in total ?
all,How many oranges were picked in total ?
all,How many turnips did they grow in total ?
+,How many quarters does she have now ?
+,How many short bushes will the park have when the workers are finished ?
+,How many baseball cards does Melanie have now ?
+,How many pears does Sara have ?
+,In total how much money did Mary spend on clothing ? .
+,In total how much did he spend ? .
+,How much money did Fred make washing cars ?
+,How many red orchids did she cut ?
all,How many seashells did they find together ?
all,How many onions did they grow in total ?
+,How many Pokemon cards does Mary have now ?
all,How many red balloons do they have in all ?
all,How many pencils are now there in all ?
all,How many cats do they have left ?
+,How much money does he have now ?
+,how many tickets does Tom have left ? .
+,How many pictures does she still have to color ?
all,how many extra did the cafeteria end up with ? .
+,how many files were still on her flash drive ? .
all,how many bad carrots did they have ? .
all,how many students did n't make the cut ? .
+,how many problems did she have to do for homework ? .
+,how many files were still on her flash drive ? .
+,how many customers did leave a tip ? .
+,how many towels did Emily end up with ? .
+,how many books would be in the bin ? .
+,how many people would be in line ? .
+,how many customers would he have ? .
+,How many students were in fourth grade at the end ?
+,How many pieces of candy does Robin have now ?
+,how many roses would she have ? .
+,how many books would Edward have ? .
+,how many cupcakes would she have ? .
+,how many socks would he have ? .
all,how many apples would they have ? .
+,how many books would Tom have ? .
+,how many socks would he have ? .
+,how many cupcakes would she have ? .
+,how many oranges would be in the bin ? .
+,how many books would Adam have ? .
+,How many students were in fourth grade at the end ?
+,how many roses would she have ? .
+,how many lives would she have ? .
+,how much money would he have ? .
+,how many roses would she have ? .
+,how many would he have ? .
+,How many seashells did she give to Sam ?
+,How many bales did he store in the barn ?
c,How many more cups does she need to add ?
+,How many walnut trees did the workers plant today ?
all,How many yellow balloons do they have in total ?
all,How many plums were picked in total ?
+,How many dogwood trees will the park have when the workers are finished ?
all,How many pears were picked in total ?
+,How many quarters does she have now ?
all,How many books do they have together ?
